Municipio,Indicadores en Óptimo,Porcentaje de Aprovechamiento 
Tizayuca,106,93.81%
Mineral de la Reforma,90,91.84%
Tulancingo de Bravo,87,78.38%
Zapotlán de Juárez,76,69.72%
Nicolás Flores,80,69.57%
Tlahuiltepa,70,67.96%
Mineral del Monte,73,66.97%
Juárez Hidalgo,77,66.96%
Pachuca de Soto,70,66.67%
Tlanchinol,72,66.67%
Huichapan,75,66.37%
Huehuetla,68,64.76%
San Felipe Orizatlán,73,63.48%
Huejutla de Reyes,67,60.91%
Almoloya,70,60.87%
Tula de Allende,63,55.75%
Epazoyucan,59,55.66%
Tenango de Doria,56,53.33%
Villa de Tezontepec,61,53.04%
Zacualtipán de Ángeles,59,52.68%
Zimapán,54,50.94%
Singuilucan,52,50.49%
San Salvador,53,50.48%
San Bartolo Tutotepec,53,49.53%
Huautla,49,45.37%
Metztitlán,48,45.28%
Francisco I. Madero,49,44.95%
Zempoala,49,43.75%
Pacula,46,43.40%
Progreso de Obregón,45,42.45%
Santiago de Anaya,47,40.87%
Santiago Tulantepec de Lugo Guerrero,39,40.87%
Tepeapulco,45,39.13%
Tetepango,45,39.13%
Tlanalapa,44,38.60%
San Agustín Tlaxiaca,42,37.50%
Atlapexco,40,37.04%
Huasca de Ocampo,39,35.78%
Cuautepec de Hinojosa,41,35.65%
Huazalingo,38,34.86%
Tolcayuca,39,33.91%
Atotonilco el Grande,35,33.33%
Tlaxcoapan,36,33.33%
Actopan,34,32.38%
Mineral del Chico,35,31.82%
Tepeji del Río de Ocampo,35,30.97%
Tepehuacán de Guerrero,33,30.56%
Apan,31,30.39%
Omitlán de Juárez,32,30.19%
Acaxochitlán,32,27.83%
Cardonal,27,26.73%
Calnali,28,25.93%
Nopala de Villagrán,27,25.47%
Pisaflores,27,25.47%
Jaltocán,29,25.22%
Atitalaquia,28,24.78%
Metepec,27,23.48%
Yahualica,27,23.48%
Ixmiquilpan,22,23.16%
Chapulhuacán,25,21.74%
Emiliano Zapata,22,20.75%
Agua Blanca de Iturbide,23,20.35%
Chapantongo,20,19.80%
Tepetitlán,22,19.13%
Ajacuba,21,19.09%
Xochicoatlán,20,19.05%
Tasquillo,18,16.07%
Atotonilco de Tula,18,15.79%
Acatlán,18,15.65%
San Agustín Metzquititlán,18,15.65%
Lolotla,15,14.29%
Tianguistengo,16,13.91%
Jacala de Ledezma,15,13.27%
Molango de Escamilla,15,13.04%
La Misión,13,13.00%
Xochiatipan,14,12.96%
Alfajayucan,12,10.62%
El Arenal,10,9.80%
Eloxochitlán,9,8.49%
Chilcuautla,3,2.61%
Tezontepec de Aldama,2,1.74%
Mixquiahuala de Juárez,1,0.95%
Tlahuelilpan,1,0.88%
Tecozautla,0,0.00%
